,pop_0_to_4,pop_5_to_9,pop_10_to_14,pop_15_to_19,pop_20_to_24,pop_25_to_29,pop_30_to_34,pop_35_to_39,pop_40_to_44,pop_45_to_49,pop_50_to_54,pop_55_to_59,pop_60_to_64,pop_65_to_69,pop_70_to_74,pop_75_to_79,pop_80_to_84,pop_85_to_89,pop_90_to_94,pop_95_to_99,pop_100_plus,single_parents,two_plus_person_household,one_person_household,married,not_married,household_income,income_under_5000,income_between_5000_9999,income_between_10000_14999,income_between_15000_19999,income_between_20000_29999,income_between_30000_39999,income_between_40000_49999,income_between_50000_59999,income_between_60000_79999,income_between_80000_99999,low_income_percent,non_immigrants,immigrants,apart_5_plus,single_detached_house,other_dwelling,owner,renter,own_room,sharing_room,suitable_housing,not_suitable_housing,no_certificate_diploma_degree,highschool_diploma,post_secondary_diploma,total_work_activity,unemployed,employed,commute_drives,commute_passenger,commute_public_transport,commute_walk,commute_cycle,commute_other,avg_household_size,income_above_100k,total_population
city of toronto,140510.0,128065.0,132295.0,150045.0,183470.0,211850.0,201165.0,190405.0,197405.0,207630.0,191295.0,162535.0,140965.0,102450.0,86190.0,74215.0,59630.0,36930.0,13875.0,3625.0,530.0,565935.0,31140.0,331180.0,1131780.0,1082410.0,1047875.0,40120.0,24230.0,36950.0,58390.0,99650.0,97935.0,95330.0,84030.0,135840.0,101985.0,19.3,1258870.0,1252215.0,429225.0,72400.0,2195.0,571790.0,476085.0,989695.0,58180.0,903090.0,144785.0,380965.0,523320.0,1271545.0,1399990.0,99070.0,1300920.0,567555.0,53380.0,429275.0,85475.0,25350.0,13585.0,2.299,273420.0,2615080.0
agincourt north,1320.0,1345.0,1560.0,2000.0,2165.0,2145.0,1685.0,1715.0,2125.0,2655.0,2360.0,2105.0,2000.0,1430.0,1245.0,1025.0,745.0,420.0,170.0,55.0,5.0,5740.0,890.0,1170.0,15005.0,11050.0,9140.0,250.0,160.0,170.0,480.0,775.0,1065.0,920.0,730.0,1220.0,1150.0,18.8,7860.0,21490.0,2130.0,820.0,20.0,7340.0,1805.0,8335.0,820.0,7605.0,1535.0,5965.0,7480.0,12325.0,14920.0,1330.0,13585.0,7550.0,920.0,3490.0,420.0,20.0,60.0,3.002,2195.0,30275.0
agincourt south malvern west,1080.0,930.0,1150.0,1480.0,1630.0,1500.0,1275.0,1360.0,1605.0,1950.0,1770.0,1500.0,1325.0,905.0,850.0,705.0,565.0,290.0,105.0,10.0,5.0,4305.0,580.0,1030.0,10600.0,8240.0,6885.0,175.0,120.0,185.0,210.0,525.0,755.0,805.0,695.0,1050.0,745.0,17.9,7105.0,14225.0,1900.0,320.0,60.0,5240.0,1640.0,6295.0,590.0,5895.0,995.0,4070.0,4840.0,9695.0,11030.0,975.0,10060.0,5520.0,725.0,2565.0,270.0,10.0,85.0,2.736,1595.0,21990.0
alderwood,610.0,495.0,555.0,650.0,685.0,680.0,835.0,780.0,890.0,1055.0,1070.0,885.0,715.0,500.0,395.0,405.0,355.0,255.0,60.0,10.0,0.0,2860.0,160.0,1195.0,5630.0,4610.0,4665.0,110.0,35.0,70.0,120.0,455.0,305.0,495.0,305.0,665.0,575.0,9.4,7655.0,4165.0,325.0,520.0,0.0,3635.0,1025.0,4605.0,50.0,4205.0,455.0,2290.0,2560.0,5355.0,6735.0,365.0,6365.0,3940.0,255.0,1380.0,180.0,55.0,85.0,2.47,1535.0,11885.0
annex,865.0,695.0,635.0,870.0,3045.0,4190.0,2995.0,2085.0,1900.0,1860.0,1715.0,1680.0,1805.0,1385.0,1100.0,840.0,685.0,465.0,235.0,80.0,15.0,5650.0,85.0,8080.0,10995.0,15995.0,15545.0,940.0,685.0,730.0,1120.0,1225.0,1075.0,1180.0,995.0,1795.0,1300.0,20.3,17900.0,8560.0,7550.0,1215.0,65.0,5765.0,9780.0,15275.0,260.0,14505.0,1040.0,1690.0,4275.0,19220.0,18080.0,745.0,17340.0,3430.0,235.0,5875.0,2995.0,1580.0,345.0,1.71,4500.0,29145.0
banbury don mills,1180.0,1205.0,1325.0,1440.0,1280.0,1420.0,1500.0,1705.0,2275.0,2305.0,1970.0,1635.0,1610.0,1280.0,1225.0,1140.0,1215.0,765.0,350.0,105.0,15.0,6595.0,195.0,4180.0,12965.0,10245.0,11775.0,170.0,115.0,240.0,640.0,1030.0,925.0,930.0,995.0,1505.0,1250.0,12.8,13130.0,12765.0,5800.0,285.0,0.0,7030.0,4730.0,11410.0,360.0,10780.0,985.0,2300.0,4715.0,15840.0,13990.0,795.0,13215.0,7435.0,650.0,2900.0,475.0,0.0,120.0,2.1185,3935.0,26945.0
bathurst manor,850.0,710.0,750.0,885.0,925.0,1000.0,1120.0,1030.0,1170.0,1220.0,1190.0,925.0,840.0,565.0,505.0,540.0,560.0,405.0,190.0,50.0,10.0,3485.0,155.0,1710.0,7085.0,6035.0,6020.0,195.0,145.0,140.0,455.0,615.0,610.0,495.0,585.0,635.0,590.0,18.4,6760.0,8025.0,1945.0,145.0,10.0,3235.0,2795.0,5740.0,265.0,5215.0,805.0,2440.0,2885.0,7500.0,8045.0,510.0,7540.0,3770.0,215.0,2475.0,265.0,70.0,70.0,2.432,1545.0,15440.0
bay street corridor,795.0,345.0,235.0,665.0,3075.0,3695.0,2760.0,1535.0,1055.0,995.0,850.0,785.0,750.0,530.0,460.0,320.0,285.0,150.0,50.0,10.0,0.0,3855.0,30.0,5965.0,7335.0,10645.0,10985.0,1590.0,415.0,545.0,490.0,940.0,815.0,740.0,805.0,1440.0,900.0,31.6,8010.0,7740.0,11070.0,0.0,0.0,3550.0,7435.0,10475.0,505.0,9475.0,1515.0,660.0,3175.0,13320.0,11290.0,880.0,10415.0,1790.0,165.0,2820.0,4120.0,245.0,130.0,1.615,2315.0,19345.0
bayview village,665.0,620.0,765.0,955.0,1190.0,1675.0,1415.0,1345.0,1335.0,1310.0,1240.0,1135.0,1050.0,765.0,680.0,530.0,490.0,345.0,130.0,40.0,10.0,4415.0,145.0,2240.0,8685.0,6940.0,7380.0,365.0,115.0,160.0,210.0,480.0,465.0,770.0,650.0,1010.0,805.0,16.4,6235.0,10550.0,3735.0,135.0,5.0,4810.0,2570.0,6920.0,445.0,6425.0,960.0,1260.0,2880.0,11080.0,9550.0,540.0,9010.0,4275.0,310.0,2800.0,195.0,0.0,40.0,2.109,2285.0,17690.0
bayview woods steeles,420.0,545.0,675.0,945.0,945.0,760.0,490.0,625.0,910.0,1075.0,1015.0,920.0,1000.0,745.0,745.0,605.0,490.0,380.0,175.0,50.0,10.0,3210.0,200.0,895.0,6740.0,5145.0,4720.0,60.0,115.0,70.0,210.0,470.0,415.0,350.0,320.0,570.0,415.0,20.2,5055.0,7775.0,1705.0,490.0,0.0,2795.0,1930.0,4565.0,150.0,4380.0,340.0,1420.0,2430.0,7675.0,6620.0,565.0,6065.0,3125.0,230.0,1595.0,155.0,0.0,20.0,2.565,1695.0,13525.0
bedford park nortown,1465.0,1620.0,1630.0,1695.0,1240.0,965.0,1180.0,1485.0,1730.0,1890.0,1805.0,1570.0,1310.0,930.0,750.0,685.0,625.0,420.0,160.0,35.0,10.0,5225.0,65.0,2585.0,10755.0,7720.0,8715.0,255.0,85.0,215.0,435.0,455.0,555.0,385.0,510.0,965.0,710.0,12.2,15875.0,6475.0,1960.0,40.0,115.0,5965.0,2760.0,8395.0,325.0,8015.0,700.0,1900.0,3730.0,12600.0,11675.0,525.0,11155.0,5545.0,345.0,2720.0,445.0,15.0,155.0,2.546,4120.0,23200.0
beechborough greenbrook,455.0,390.0,395.0,415.0,455.0,535.0,495.0,425.0,480.0,535.0,470.0,365.0,305.0,225.0,185.0,155.0,115.0,75.0,15.0,5.0,0.0,1420.0,70.0,840.0,2245.0,3005.0,2670.0,25.0,65.0,105.0,315.0,335.0,425.0,305.0,225.0,285.0,200.0,30.9,2785.0,3485.0,660.0,80.0,5.0,905.0,1765.0,2540.0,125.0,2120.0,540.0,1635.0,1775.0,1810.0,3150.0,325.0,2835.0,1310.0,140.0,1090.0,80.0,0.0,0.0,2.28,300.0,6495.0
bendale,1525.0,1460.0,1425.0,1655.0,2085.0,2030.0,1840.0,1905.0,1920.0,2080.0,1915.0,1645.0,1505.0,1135.0,1085.0,1070.0,850.0,490.0,170.0,45.0,5.0,5925.0,440.0,2510.0,12955.0,10515.0,10000.0,440.0,175.0,290.0,455.0,985.0,925.0,1010.0,1110.0,1475.0,1065.0,20.3,11065.0,14895.0,4195.0,280.0,20.0,6710.0,3270.0,9085.0,910.0,8245.0,1735.0,4455.0,6685.0,11615.0,13615.0,1260.0,12355.0,6285.0,880.0,4055.0,435.0,0.0,50.0,2.565,2050.0,27840.0
birchcliffe cliffside,1060.0,1045.0,1110.0,1370.0,1200.0,1115.0,1180.0,1415.0,1615.0,2105.0,2085.0,1745.0,1510.0,960.0,705.0,575.0,530.0,355.0,135.0,40.0,5.0,5255.0,145.0,3015.0,9490.0,9165.0,9190.0,290.0,165.0,265.0,370.0,920.0,735.0,740.0,760.0,1165.0,1100.0,14.7,15620.0,5555.0,950.0,420.0,35.0,6170.0,3025.0,9025.0,150.0,8540.0,650.0,3115.0,4895.0,10080.0,12225.0,765.0,11460.0,5675.0,465.0,3400.0,365.0,155.0,105.0,2.242,2665.0,21860.0
black creek,1805.0,1720.0,1585.0,1675.0,1705.0,1630.0,1405.0,1395.0,1570.0,1540.0,1430.0,1095.0,920.0,760.0,665.0,515.0,340.0,190.0,60.0,25.0,5.0,4255.0,380.0,1485.0,7250.0,9710.0,7250.0,255.0,115.0,480.0,595.0,940.0,1080.0,935.0,600.0,875.0,625.0,28.1,8015.0,13345.0,4455.0,665.0,0.0,2400.0,4855.0,6395.0,860.0,5330.0,1910.0,5635.0,5630.0,5635.0,9595.0,1115.0,8460.0,4165.0,595.0,2935.0,275.0,0.0,0.0,2.7929999999999997,675.0,22035.0
blake jones,520.0,400.0,440.0,440.0,505.0,575.0,640.0,660.0,650.0,655.0,635.0,435.0,380.0,250.0,205.0,135.0,145.0,55.0,20.0,0.0,5.0,1735.0,90.0,1030.0,3185.0,3220.0,3240.0,85.0,90.0,215.0,305.0,310.0,225.0,250.0,215.0,380.0,285.0,24.4,4905.0,2715.0,500.0,825.0,20.0,1755.0,1485.0,3130.0,115.0,2935.0,300.0,1495.0,1425.0,3555.0,4215.0,275.0,3940.0,1265.0,120.0,1575.0,260.0,225.0,45.0,2.3369999999999997,905.0,7750.0
briar hill belgravia,695.0,605.0,715.0,770.0,890.0,1075.0,1180.0,1115.0,1175.0,1290.0,1190.0,925.0,790.0,470.0,465.0,370.0,320.0,175.0,60.0,5.0,5.0,3070.0,200.0,1750.0,6255.0,6030.0,5805.0,235.0,125.0,190.0,325.0,635.0,560.0,610.0,515.0,810.0,605.0,17.1,5220.0,8785.0,2420.0,160.0,0.0,2865.0,2940.0,5430.0,390.0,4805.0,1005.0,2685.0,2870.0,6730.0,8235.0,555.0,7675.0,2875.0,400.0,3460.0,290.0,50.0,55.0,2.356,1165.0,14285.0
bridle path sunnybrook york mills,285.0,480.0,645.0,765.0,595.0,315.0,270.0,335.0,565.0,810.0,765.0,715.0,645.0,470.0,340.0,265.0,235.0,135.0,50.0,10.0,5.0,2150.0,55.0,545.0,4565.0,2730.0,3005.0,60.0,0.0,30.0,45.0,85.0,50.0,45.0,115.0,235.0,145.0,8.2,5935.0,2580.0,480.0,45.0,0.0,2805.0,185.0,2970.0,20.0,2935.0,70.0,635.0,1170.0,5400.0,4270.0,140.0,4135.0,2400.0,150.0,630.0,210.0,20.0,15.0,2.6885,2110.0,8700.0
broadview north,665.0,490.0,430.0,495.0,640.0,920.0,1025.0,1050.0,1050.0,995.0,830.0,730.0,690.0,455.0,375.0,305.0,250.0,130.0,40.0,10.0,0.0,2690.0,50.0,2355.0,4715.0,5265.0,5610.0,230.0,140.0,235.0,430.0,725.0,650.0,570.0,545.0,520.0,435.0,24.2,6050.0,5250.0,3295.0,460.0,0.0,1915.0,3695.0,5285.0,320.0,4595.0,1020.0,1845.0,1960.0,6095.0,6515.0,515.0,6005.0,2135.0,175.0,2655.0,315.0,110.0,50.0,1.9,1115.0,11575.0
brookhaven amesbury,1315.0,1110.0,1130.0,1230.0,1215.0,1360.0,1255.0,1140.0,1300.0,1420.0,1350.0,1000.0,770.0,545.0,515.0,450.0,370.0,195.0,85.0,25.0,0.0,3935.0,225.0,1415.0,6800.0,7440.0,6395.0,155.0,95.0,185.0,370.0,760.0,855.0,965.0,595.0,840.0,630.0,24.2,7470.0,9645.0,3685.0,250.0,5.0,2660.0,3725.0,5725.0,660.0,4750.0,1640.0,3825.0,4450.0,5695.0,8690.0,780.0,7920.0,3910.0,405.0,2940.0,265.0,0.0,15.0,2.5934999999999997,865.0,17780.0
cabbagetown south st  james town,355.0,240.0,275.0,335.0,755.0,1115.0,1130.0,985.0,1015.0,1250.0,1035.0,870.0,855.0,615.0,445.0,305.0,265.0,115.0,55.0,25.0,5.0,2440.0,35.0,3430.0,4700.0,6480.0,6630.0,265.0,215.0,330.0,440.0,575.0,540.0,515.0,415.0,820.0,590.0,16.2,7095.0,4035.0,3595.0,450.0,20.0,2940.0,3690.0,6455.0,155.0,6120.0,515.0,875.0,1885.0,7710.0,7720.0,325.0,7395.0,1745.0,120.0,2210.0,1805.0,415.0,70.0,1.6244999999999998,1910.0,12045.0
caledonia fairbank,555.0,480.0,550.0,645.0,655.0,765.0,785.0,680.0,725.0,840.0,790.0,630.0,510.0,370.0,320.0,225.0,185.0,105.0,25.0,10.0,0.0,2155.0,175.0,710.0,4445.0,3815.0,3520.0,85.0,115.0,65.0,125.0,420.0,315.0,400.0,405.0,440.0,465.0,16.1,4050.0,5585.0,165.0,430.0,5.0,2430.0,1090.0,3385.0,140.0,2815.0,705.0,3040.0,2240.0,3045.0,5300.0,435.0,4865.0,2055.0,315.0,2105.0,105.0,30.0,50.0,2.5555,685.0,9850.0
casa loma,375.0,375.0,405.0,405.0,655.0,1070.0,820.0,665.0,700.0,745.0,680.0,765.0,830.0,615.0,455.0,330.0,305.0,200.0,60.0,15.0,0.0,2480.0,25.0,2355.0,4860.0,4465.0,5325.0,120.0,85.0,105.0,225.0,535.0,475.0,295.0,285.0,565.0,425.0,10.4,7135.0,2915.0,2630.0,245.0,0.0,2225.0,3095.0,5265.0,25.0,5015.0,315.0,525.0,1520.0,7240.0,6525.0,260.0,6265.0,1820.0,105.0,2270.0,630.0,190.0,135.0,1.9,2235.0,10470.0
centennial scarborough,625.0,680.0,840.0,975.0,940.0,650.0,585.0,730.0,910.0,1125.0,1155.0,1010.0,940.0,760.0,560.0,305.0,170.0,95.0,25.0,0.0,0.0,3270.0,170.0,450.0,6840.0,4110.0,4270.0,20.0,25.0,20.0,90.0,170.0,185.0,185.0,235.0,575.0,535.0,6.6,8100.0,4880.0,0.0,160.0,0.0,3970.0,310.0,4225.0,45.0,4040.0,230.0,1140.0,2700.0,7090.0,7455.0,310.0,7140.0,4115.0,385.0,1630.0,130.0,0.0,60.0,2.8974999999999995,2200.0,13080.0
church yonge corridor,590.0,270.0,245.0,835.0,3650.0,5000.0,3795.0,2525.0,2175.0,2105.0,1830.0,1495.0,1230.0,905.0,650.0,465.0,345.0,155.0,45.0,5.0,0.0,4870.0,30.0,11005.0,9245.0,18000.0,18230.0,1430.0,630.0,1270.0,1130.0,1725.0,1590.0,1795.0,1500.0,2235.0,1480.0,27.1,15740.0,9960.0,16455.0,30.0,45.0,5330.0,12900.0,17805.0,425.0,16420.0,1805.0,1525.0,4815.0,20250.0,19420.0,1150.0,18265.0,2635.0,255.0,6125.0,6455.0,570.0,220.0,1.463,3420.0,28315.0
clairlea birchmount,1520.0,1305.0,1420.0,1585.0,1575.0,1730.0,1830.0,1780.0,1955.0,2220.0,1925.0,1550.0,1220.0,775.0,650.0,605.0,540.0,375.0,155.0,40.0,10.0,5340.0,345.0,1920.0,11075.0,9450.0,8755.0,330.0,125.0,300.0,355.0,760.0,870.0,830.0,830.0,1225.0,965.0,19.1,11865.0,11980.0,1770.0,1020.0,55.0,5775.0,2975.0,8215.0,535.0,7385.0,1360.0,3795.0,5530.0,10615.0,12970.0,950.0,12025.0,5680.0,505.0,4575.0,205.0,0.0,65.0,2.698,2110.0,24765.0
clanton park,950.0,760.0,870.0,880.0,835.0,890.0,1115.0,1150.0,1155.0,1220.0,1055.0,860.0,770.0,480.0,450.0,400.0,390.0,255.0,115.0,25.0,5.0,3115.0,145.0,1565.0,6480.0,5560.0,5545.0,155.0,100.0,120.0,300.0,580.0,375.0,600.0,430.0,820.0,440.0,15.3,7325.0,6540.0,1275.0,10.0,20.0,2925.0,2615.0,5190.0,345.0,4655.0,885.0,1860.0,2355.0,7755.0,8170.0,540.0,7630.0,3385.0,215.0,2910.0,155.0,20.0,120.0,2.3844999999999996,1615.0,14630.0
cliffcrest,775.0,840.0,1035.0,1125.0,985.0,790.0,695.0,905.0,1175.0,1410.0,1410.0,1130.0,1020.0,650.0,485.0,525.0,395.0,250.0,90.0,15.0,0.0,3680.0,175.0,1430.0,7215.0,5835.0,5820.0,135.0,105.0,200.0,330.0,575.0,440.0,455.0,285.0,870.0,660.0,17.3,9920.0,5450.0,1305.0,60.0,65.0,4070.0,1755.0,5605.0,205.0,5330.0,500.0,2375.0,3640.0,6865.0,7905.0,610.0,7300.0,4200.0,350.0,1910.0,215.0,0.0,65.0,2.546,1770.0,15705.0
corso italia davenport,705.0,620.0,625.0,840.0,950.0,1155.0,1185.0,1015.0,1015.0,1135.0,1060.0,865.0,640.0,480.0,470.0,405.0,345.0,155.0,45.0,10.0,0.0,3045.0,165.0,1160.0,6095.0,5685.0,5100.0,195.0,50.0,110.0,235.0,530.0,640.0,415.0,205.0,640.0,645.0,16.4,6600.0,6610.0,0.0,1315.0,15.0,3260.0,1840.0,4900.0,200.0,4515.0,585.0,3595.0,2500.0,5505.0,7455.0,375.0,7075.0,2755.0,325.0,2780.0,225.0,155.0,15.0,2.432,1360.0,13720.0
danforth,635.0,505.0,400.0,445.0,565.0,640.0,780.0,825.0,725.0,740.0,705.0,600.0,510.0,410.0,325.0,270.0,190.0,120.0,45.0,10.0,0.0,2155.0,70.0,1260.0,4240.0,3660.0,3905.0,105.0,85.0,140.0,245.0,375.0,265.0,200.0,205.0,535.0,380.0,14.1,6270.0,2965.0,335.0,1255.0,30.0,2490.0,1410.0,3810.0,75.0,3610.0,295.0,1630.0,1625.0,4590.0,5195.0,265.0,4925.0,1590.0,215.0,2145.0,205.0,235.0,45.0,2.318,1330.0,9445.0
danforth east york,1085.0,795.0,720.0,750.0,795.0,955.0,1495.0,1500.0,1440.0,1425.0,1245.0,1140.0,990.0,650.0,550.0,475.0,405.0,215.0,70.0,5.0,0.0,4125.0,130.0,2040.0,7985.0,6130.0,6950.0,215.0,90.0,85.0,330.0,615.0,830.0,410.0,320.0,885.0,860.0,13.2,10830.0,5720.0,740.0,1720.0,10.0,5005.0,1945.0,6795.0,160.0,6295.0,655.0,2695.0,3135.0,8200.0,9745.0,490.0,9245.0,3495.0,390.0,3665.0,460.0,370.0,100.0,2.3085,2265.0,16705.0
don valley village,1505.0,1365.0,1290.0,1580.0,1795.0,1805.0,1935.0,2200.0,2295.0,2155.0,1790.0,1500.0,1410.0,1130.0,1020.0,850.0,610.0,360.0,135.0,30.0,5.0,6300.0,310.0,1930.0,13020.0,9555.0,9745.0,395.0,185.0,285.0,475.0,1030.0,975.0,960.0,715.0,1360.0,965.0,22.2,8120.0,17620.0,5225.0,350.0,0.0,5010.0,4740.0,8990.0,750.0,8195.0,1560.0,2660.0,4675.0,15025.0,13850.0,1180.0,12665.0,6275.0,440.0,3980.0,540.0,25.0,150.0,2.5555,2320.0,26765.0
dorset park,1690.0,1460.0,1340.0,1505.0,1500.0,1700.0,1740.0,1790.0,1755.0,2000.0,1935.0,1525.0,1190.0,820.0,655.0,655.0,540.0,335.0,155.0,55.0,10.0,5125.0,400.0,1970.0,10800.0,9075.0,8525.0,215.0,145.0,270.0,430.0,880.0,1125.0,1045.0,755.0,1335.0,1020.0,21.0,9075.0,14600.0,3710.0,335.0,5.0,5290.0,3225.0,7505.0,1020.0,6615.0,1910.0,4045.0,5785.0,9650.0,12105.0,1155.0,10940.0,5560.0,465.0,3890.0,335.0,35.0,65.0,2.6409999999999996,1295.0,24355.0
