,pop_0_to_4,pop_5_to_9,pop_10_to_14,pop_15_to_19,pop_20_to_24,pop_25_to_29,pop_30_to_34,pop_35_to_39,pop_40_to_44,pop_45_to_49,pop_50_to_54,pop_55_to_59,pop_60_to_64,pop_65_to_69,pop_70_to_74,pop_75_to_79,pop_80_to_84,pop_85_to_89,pop_90_to_94,pop_95_to_99,pop_100_plus,single_parents,two_plus_person_household,one_person_household,married,not_married,household_income,income_under_5000,income_between_5000_9999,income_between_10000_14999,income_between_15000_19999,income_between_20000_29999,income_between_30000_39999,income_between_40000_49999,income_between_50000_59999,income_between_60000_79999,income_between_80000_99999,low_income_percent,non_immigrants,immigrants,apart_5_plus,single_detached_house,other_dwelling,owner,renter,own_room,sharing_room,suitable_housing,not_suitable_housing,no_certificate_diploma_degree,highschool_diploma,post_secondary_diploma,total_work_activity,unemployed,employed,commute_drives,commute_passenger,commute_public_transport,commute_walk,commute_cycle,commute_other,avg_household_size,income_above_100k,total_population
dovercourt wallace emerson junction,1670.0,1345.0,1430.0,1720.0,2635.0,3770.0,3495.0,3080.0,2650.0,2675.0,2425.0,1920.0,1595.0,1235.0,1070.0,870.0,610.0,345.0,85.0,15.0,0.0,7105.0,510.0,3975.0,14680.0,15495.0,13945.0,455.0,280.0,510.0,930.0,1370.0,1370.0,1320.0,1010.0,1875.0,1655.0,17.6,17515.0,15980.0,1390.0,2140.0,35.0,7455.0,6485.0,13315.0,635.0,12155.0,1795.0,8195.0,6770.0,15045.0,20525.0,1190.0,19335.0,6000.0,840.0,8185.0,910.0,1405.0,210.0,2.2515,3140.0,34640.0
downsview roding cfb,2220.0,1905.0,1915.0,2050.0,2185.0,2490.0,2655.0,2380.0,2585.0,2795.0,2560.0,2020.0,1630.0,1285.0,1255.0,1195.0,890.0,450.0,135.0,25.0,5.0,7405.0,550.0,3595.0,14300.0,14325.0,13225.0,425.0,320.0,510.0,705.0,1660.0,1645.0,1730.0,1190.0,1840.0,1165.0,19.7,14495.0,19095.0,3420.0,900.0,0.0,6145.0,7140.0,12355.0,915.0,10795.0,2480.0,9045.0,8075.0,11490.0,17570.0,1345.0,16220.0,8175.0,675.0,5880.0,475.0,0.0,145.0,2.5365,2015.0,34630.0
dufferin grove,510.0,415.0,370.0,410.0,845.0,1475.0,1335.0,1025.0,920.0,775.0,785.0,615.0,560.0,425.0,350.0,290.0,180.0,115.0,30.0,10.0,0.0,2295.0,145.0,1800.0,4760.0,5380.0,5110.0,200.0,190.0,215.0,245.0,550.0,625.0,575.0,315.0,805.0,490.0,19.1,6170.0,4980.0,1315.0,555.0,0.0,2005.0,3100.0,4845.0,260.0,4410.0,700.0,2010.0,2325.0,5680.0,7140.0,305.0,6835.0,1660.0,325.0,2925.0,460.0,770.0,60.0,2.0425,910.0,11440.0
east end danforth,1320.0,1145.0,1070.0,1135.0,1095.0,1330.0,1580.0,1875.0,1875.0,1930.0,1695.0,1405.0,1195.0,720.0,495.0,375.0,315.0,215.0,65.0,15.0,0.0,4915.0,130.0,3295.0,8790.0,8515.0,9110.0,415.0,175.0,425.0,525.0,1005.0,610.0,610.0,665.0,890.0,850.0,16.8,14490.0,5620.0,2080.0,1990.0,55.0,4925.0,4185.0,8785.0,325.0,8240.0,875.0,2660.0,3820.0,10455.0,11975.0,690.0,11290.0,4185.0,460.0,4490.0,615.0,225.0,135.0,2.1755,2960.0,20850.0
edenbridge humber valley,570.0,755.0,855.0,900.0,960.0,915.0,745.0,825.0,1045.0,1225.0,1250.0,1140.0,955.0,720.0,590.0,565.0,485.0,305.0,115.0,25.0,5.0,3755.0,80.0,1725.0,7050.0,5710.0,6020.0,200.0,70.0,70.0,240.0,585.0,400.0,595.0,430.0,650.0,560.0,14.4,8830.0,5885.0,2170.0,95.0,0.0,3235.0,2790.0,5805.0,210.0,5340.0,665.0,1730.0,2960.0,7970.0,7880.0,455.0,7420.0,4125.0,305.0,1805.0,115.0,60.0,100.0,2.3085,2170.0,14950.0
eglinton east,1555.0,1500.0,1500.0,1545.0,1535.0,1450.0,1485.0,1515.0,1675.0,1745.0,1635.0,1395.0,1130.0,850.0,740.0,615.0,535.0,265.0,130.0,25.0,0.0,4820.0,335.0,1845.0,8995.0,9290.0,8055.0,150.0,200.0,295.0,510.0,1275.0,970.0,975.0,835.0,955.0,705.0,27.2,9045.0,12830.0,5150.0,75.0,5.0,3595.0,4470.0,7140.0,915.0,6195.0,1850.0,3980.0,5430.0,8505.0,10505.0,1155.0,9350.0,3950.0,515.0,3960.0,180.0,0.0,30.0,2.6695,1185.0,22825.0
elms old rexdale,670.0,720.0,720.0,725.0,655.0,570.0,595.0,600.0,750.0,720.0,710.0,545.0,475.0,350.0,265.0,235.0,145.0,90.0,10.0,0.0,0.0,2065.0,130.0,590.0,3700.0,3735.0,3220.0,70.0,110.0,0.0,185.0,325.0,355.0,455.0,295.0,470.0,335.0,19.8,4555.0,4845.0,1365.0,70.0,0.0,1915.0,1310.0,3060.0,165.0,2690.0,535.0,2020.0,2370.0,3100.0,4635.0,445.0,4205.0,2655.0,135.0,1005.0,95.0,0.0,40.0,2.7835,565.0,9550.0
englemount lawrence,1675.0,1530.0,1550.0,1500.0,1320.0,1315.0,1470.0,1450.0,1380.0,1370.0,1365.0,1160.0,955.0,715.0,655.0,665.0,715.0,725.0,405.0,160.0,15.0,4235.0,175.0,2765.0,8130.0,9195.0,8135.0,290.0,130.0,215.0,800.0,895.0,880.0,895.0,790.0,875.0,625.0,21.3,10745.0,10010.0,2730.0,40.0,0.0,3440.0,4685.0,7550.0,585.0,6820.0,1315.0,2365.0,4085.0,9995.0,9710.0,610.0,9100.0,3885.0,310.0,3375.0,535.0,25.0,75.0,2.5174999999999996,1750.0,22095.0
eringate centennial west deane,830.0,845.0,1085.0,1370.0,1180.0,940.0,855.0,920.0,1355.0,1635.0,1660.0,1360.0,1155.0,885.0,840.0,840.0,615.0,345.0,95.0,25.0,0.0,4725.0,210.0,1390.0,9140.0,6925.0,6900.0,155.0,50.0,85.0,155.0,460.0,560.0,460.0,460.0,995.0,865.0,10.8,10420.0,8180.0,1790.0,350.0,5.0,5840.0,1060.0,6705.0,195.0,6405.0,500.0,2645.0,4150.0,9205.0,9635.0,470.0,9155.0,5730.0,450.0,1805.0,125.0,35.0,65.0,2.565,2610.0,18835.0
etobicoke west mall,585.0,565.0,630.0,720.0,705.0,650.0,625.0,700.0,795.0,920.0,870.0,700.0,570.0,370.0,370.0,380.0,365.0,265.0,125.0,40.0,5.0,2485.0,95.0,1095.0,4620.0,4530.0,4040.0,90.0,95.0,50.0,245.0,365.0,365.0,595.0,435.0,575.0,485.0,20.6,5010.0,5430.0,2675.0,95.0,15.0,2255.0,1790.0,3745.0,305.0,3490.0,555.0,1685.0,2405.0,4595.0,5525.0,350.0,5180.0,2650.0,325.0,1490.0,195.0,50.0,0.0,2.375,750.0,10955.0
flemingdon park,1555.0,1420.0,1480.0,1465.0,1620.0,1675.0,1615.0,1595.0,1630.0,1705.0,1500.0,1160.0,1055.0,820.0,695.0,555.0,370.0,190.0,50.0,5.0,0.0,4775.0,280.0,2070.0,9345.0,8365.0,8040.0,295.0,225.0,250.0,495.0,925.0,1145.0,1015.0,805.0,1105.0,780.0,30.5,7155.0,14170.0,6635.0,180.0,0.0,3745.0,4280.0,6840.0,1190.0,5730.0,2305.0,3615.0,4570.0,9530.0,10370.0,1240.0,9140.0,3930.0,475.0,3510.0,360.0,0.0,55.0,2.6599999999999997,985.0,22160.0
forest hill north,695.0,690.0,625.0,745.0,780.0,855.0,915.0,975.0,1020.0,960.0,950.0,805.0,765.0,470.0,350.0,285.0,245.0,180.0,120.0,35.0,5.0,2765.0,45.0,1940.0,5405.0,5055.0,5340.0,170.0,90.0,210.0,210.0,530.0,475.0,510.0,425.0,605.0,460.0,14.9,7090.0,4750.0,3350.0,15.0,0.0,1850.0,3495.0,5045.0,290.0,4530.0,795.0,990.0,1955.0,7450.0,7280.0,370.0,6915.0,2525.0,235.0,2595.0,210.0,25.0,110.0,2.2135,1650.0,12470.0
forest hill south,365.0,425.0,530.0,760.0,820.0,810.0,665.0,585.0,645.0,780.0,820.0,820.0,755.0,580.0,445.0,365.0,355.0,275.0,95.0,30.0,5.0,2400.0,20.0,1950.0,4990.0,4605.0,4790.0,120.0,45.0,155.0,245.0,360.0,355.0,295.0,320.0,490.0,430.0,9.1,7910.0,2450.0,1825.0,65.0,0.0,2630.0,2160.0,4765.0,0.0,4630.0,160.0,720.0,1575.0,6920.0,6040.0,255.0,5780.0,2475.0,130.0,1670.0,230.0,85.0,140.0,2.033,1935.0,10930.0
glenfield jane heights,2110.0,2135.0,2290.0,2445.0,2105.0,2050.0,1865.0,1905.0,2185.0,2285.0,2175.0,1640.0,1490.0,1220.0,1190.0,1110.0,765.0,340.0,70.0,25.0,0.0,5900.0,735.0,1805.0,11415.0,13430.0,10005.0,210.0,200.0,315.0,755.0,1415.0,1240.0,1135.0,975.0,1405.0,855.0,24.1,11445.0,19040.0,3355.0,3460.0,15.0,4945.0,5055.0,9265.0,735.0,7655.0,2340.0,9295.0,7765.0,7255.0,13080.0,1440.0,11640.0,5910.0,730.0,3900.0,235.0,0.0,120.0,2.888,1445.0,31400.0
greenwood coxwell,975.0,595.0,590.0,655.0,835.0,980.0,1295.0,1420.0,1200.0,1200.0,1125.0,980.0,660.0,460.0,400.0,310.0,240.0,130.0,35.0,15.0,5.0,3030.0,150.0,2070.0,5845.0,6075.0,6000.0,145.0,130.0,265.0,450.0,530.0,540.0,545.0,415.0,765.0,745.0,18.6,8850.0,5070.0,515.0,1475.0,5.0,3710.0,2290.0,5805.0,195.0,5450.0,560.0,2570.0,2615.0,6660.0,7815.0,465.0,7345.0,2275.0,275.0,3040.0,335.0,415.0,110.0,2.2515,1435.0,14105.0
guildwood,370.0,440.0,485.0,565.0,510.0,395.0,395.0,515.0,650.0,710.0,855.0,780.0,650.0,560.0,500.0,570.0,470.0,305.0,90.0,25.0,0.0,2530.0,90.0,1035.0,4880.0,3645.0,3960.0,40.0,0.0,20.0,95.0,190.0,480.0,370.0,275.0,580.0,530.0,8.9,6400.0,3180.0,1085.0,105.0,5.0,3090.0,860.0,3935.0,20.0,3775.0,185.0,1045.0,2180.0,5105.0,4980.0,305.0,4665.0,2610.0,210.0,1320.0,100.0,25.0,60.0,2.299,1335.0,9840.0
henry farm,780.0,745.0,660.0,660.0,835.0,995.0,1010.0,1025.0,920.0,865.0,710.0,580.0,465.0,330.0,275.0,230.0,150.0,80.0,25.0,5.0,0.0,2605.0,130.0,880.0,5135.0,4010.0,4095.0,275.0,105.0,165.0,180.0,340.0,490.0,365.0,370.0,550.0,320.0,28.3,3395.0,7440.0,3020.0,0.0,0.0,1445.0,2650.0,3665.0,435.0,3010.0,1085.0,925.0,2000.0,6305.0,5820.0,615.0,5210.0,2305.0,185.0,2110.0,210.0,15.0,50.0,2.3465000000000003,895.0,11345.0
high park north,1100.0,805.0,750.0,785.0,1330.0,2380.0,2250.0,1975.0,1755.0,1595.0,1475.0,1365.0,1155.0,735.0,505.0,450.0,385.0,320.0,120.0,25.0,5.0,4955.0,80.0,4660.0,9190.0,9450.0,10605.0,565.0,230.0,375.0,540.0,810.0,840.0,940.0,865.0,1365.0,1080.0,16.2,12145.0,8120.0,6065.0,630.0,5.0,3600.0,7000.0,10220.0,365.0,9530.0,1065.0,1595.0,3505.0,13335.0,13410.0,840.0,12570.0,4370.0,205.0,5735.0,560.0,335.0,75.0,1.881,2970.0,21265.0
high park swansea,1235.0,1100.0,935.0,870.0,1030.0,1655.0,1895.0,1880.0,1865.0,1705.0,1575.0,1370.0,1235.0,885.0,655.0,560.0,565.0,470.0,190.0,55.0,15.0,5030.0,75.0,3895.0,9560.0,8930.0,9855.0,350.0,175.0,360.0,355.0,865.0,755.0,670.0,610.0,1290.0,885.0,11.6,14695.0,6385.0,2605.0,505.0,10.0,5975.0,3870.0,9720.0,130.0,9185.0,655.0,1535.0,3215.0,13205.0,12930.0,565.0,12360.0,4635.0,375.0,4025.0,655.0,585.0,185.0,2.0425,3540.0,21745.0
highland creek,445.0,585.0,710.0,930.0,1130.0,1020.0,710.0,585.0,715.0,1015.0,1085.0,1125.0,1050.0,740.0,490.0,345.0,180.0,130.0,90.0,25.0,0.0,2575.0,340.0,375.0,6455.0,4900.0,3800.0,70.0,35.0,60.0,55.0,175.0,135.0,280.0,260.0,420.0,430.0,7.9,5590.0,7275.0,0.0,10.0,0.0,3355.0,450.0,3770.0,20.0,3575.0,230.0,1295.0,2870.0,7005.0,7345.0,455.0,6890.0,4195.0,430.0,1570.0,85.0,0.0,80.0,3.2015,1865.0,13105.0
hillcrest village,555.0,690.0,855.0,1175.0,1305.0,955.0,745.0,950.0,1385.0,1475.0,1260.0,1250.0,1235.0,975.0,920.0,825.0,615.0,350.0,95.0,40.0,10.0,4220.0,235.0,1495.0,8825.0,6730.0,6550.0,165.0,135.0,120.0,605.0,515.0,540.0,505.0,470.0,795.0,655.0,17.2,4840.0,12265.0,1980.0,840.0,0.0,5055.0,1485.0,6305.0,245.0,6065.0,485.0,1980.0,3200.0,10155.0,8330.0,550.0,7780.0,4140.0,370.0,2295.0,95.0,0.0,65.0,2.508,2005.0,17665.0
humber heights westmount,495.0,495.0,485.0,615.0,530.0,520.0,560.0,585.0,670.0,800.0,750.0,655.0,595.0,460.0,505.0,555.0,570.0,510.0,195.0,40.0,5.0,2395.0,85.0,1100.0,4495.0,4615.0,3930.0,85.0,90.0,90.0,215.0,380.0,325.0,400.0,295.0,440.0,485.0,18.7,5185.0,4465.0,1825.0,60.0,0.0,2585.0,1350.0,3760.0,170.0,3465.0,470.0,1620.0,2130.0,4495.0,4885.0,335.0,4550.0,2800.0,210.0,950.0,115.0,0.0,15.0,2.3275,1060.0,10595.0
humber summit,720.0,730.0,855.0,880.0,860.0,775.0,780.0,830.0,865.0,970.0,715.0,630.0,620.0,580.0,635.0,575.0,330.0,115.0,20.0,10.0,0.0,2435.0,345.0,520.0,5830.0,4380.0,3785.0,105.0,0.0,40.0,90.0,345.0,460.0,505.0,400.0,605.0,440.0,15.2,4575.0,7735.0,730.0,1885.0,0.0,2740.0,1045.0,3460.0,330.0,3060.0,725.0,3740.0,2895.0,3615.0,5795.0,550.0,5255.0,3320.0,315.0,1195.0,90.0,0.0,0.0,3.021,760.0,12495.0
humbermede,1125.0,1030.0,1005.0,1100.0,1160.0,1120.0,1145.0,1100.0,1190.0,1205.0,1080.0,825.0,760.0,520.0,525.0,440.0,305.0,170.0,35.0,10.0,0.0,3130.0,355.0,860.0,6615.0,6070.0,5115.0,170.0,85.0,130.0,295.0,540.0,690.0,570.0,475.0,780.0,580.0,22.0,5745.0,9655.0,1595.0,1190.0,0.0,2655.0,2455.0,4540.0,575.0,3975.0,1135.0,3475.0,3640.0,5555.0,7840.0,770.0,7080.0,3990.0,330.0,2085.0,145.0,0.0,70.0,2.9164999999999996,800.0,15850.0
humewood cedarvale,785.0,670.0,600.0,635.0,1095.0,1435.0,1315.0,1195.0,1105.0,1055.0,970.0,875.0,765.0,525.0,380.0,260.0,235.0,130.0,45.0,25.0,5.0,3060.0,60.0,2655.0,6010.0,6040.0,6580.0,165.0,210.0,275.0,455.0,750.0,565.0,535.0,485.0,840.0,500.0,14.9,8895.0,4730.0,1715.0,255.0,5.0,2375.0,4210.0,6320.0,255.0,5850.0,730.0,1285.0,2355.0,8340.0,8775.0,395.0,8375.0,2655.0,180.0,3760.0,430.0,210.0,140.0,2.0614999999999997,1795.0,14105.0
ionview,795.0,710.0,680.0,770.0,930.0,975.0,950.0,890.0,1010.0,1130.0,1010.0,830.0,685.0,500.0,420.0,330.0,265.0,135.0,35.0,5.0,0.0,2835.0,210.0,1320.0,5485.0,5415.0,5075.0,215.0,190.0,160.0,320.0,600.0,625.0,650.0,575.0,655.0,440.0,24.0,5305.0,7425.0,2790.0,370.0,100.0,1985.0,3085.0,4620.0,450.0,3890.0,1185.0,2435.0,3555.0,4905.0,6640.0,555.0,6090.0,2505.0,270.0,2480.0,230.0,0.0,50.0,2.4985,640.0,13055.0
islington city centre west,1935.0,1590.0,1640.0,2015.0,2315.0,2935.0,3085.0,2835.0,2745.0,3020.0,2815.0,2535.0,2055.0,1525.0,1310.0,1235.0,1200.0,875.0,315.0,65.0,5.0,9165.0,275.0,5380.0,17450.0,15470.0,16255.0,485.0,290.0,350.0,730.0,1220.0,1405.0,1430.0,1420.0,2165.0,1650.0,14.7,19945.0,16885.0,9410.0,125.0,0.0,9960.0,6295.0,15625.0,605.0,14470.0,1790.0,4075.0,7800.0,20435.0,21300.0,1275.0,20020.0,10165.0,580.0,6480.0,785.0,40.0,125.0,2.128,4990.0,38050.0
junction area,775.0,625.0,615.0,785.0,900.0,1275.0,1390.0,1285.0,1200.0,1195.0,1100.0,890.0,670.0,430.0,305.0,230.0,195.0,115.0,35.0,10.0,0.0,2960.0,135.0,1860.0,5925.0,6085.0,4570.0,125.0,110.0,190.0,195.0,335.0,420.0,415.0,325.0,570.0,610.0,12.3,6590.0,4605.0,490.0,945.0,10.0,2685.0,1895.0,4395.0,155.0,4075.0,505.0,1685.0,2335.0,5610.0,7110.0,335.0,6775.0,2745.0,100.0,2540.0,330.0,245.0,50.0,2.2135,1300.0,14025.0
keelesdale eglinton west,555.0,520.0,610.0,690.0,695.0,725.0,760.0,720.0,805.0,905.0,850.0,645.0,590.0,450.0,365.0,340.0,250.0,125.0,25.0,0.0,0.0,2225.0,190.0,1055.0,4605.0,4345.0,3980.0,140.0,125.0,185.0,360.0,385.0,470.0,405.0,255.0,525.0,465.0,17.8,3820.0,6425.0,385.0,410.0,0.0,2510.0,1470.0,3845.0,140.0,3350.0,625.0,3425.0,2550.0,2900.0,5600.0,415.0,5185.0,2380.0,420.0,1860.0,110.0,0.0,0.0,2.508,675.0,10625.0
kennedy park,975.0,925.0,1030.0,1140.0,1070.0,1095.0,1070.0,1140.0,1325.0,1530.0,1370.0,1220.0,900.0,645.0,540.0,475.0,365.0,185.0,55.0,15.0,0.0,3525.0,270.0,1955.0,6800.0,7325.0,6535.0,285.0,200.0,430.0,410.0,855.0,785.0,755.0,545.0,785.0,540.0,28.5,7380.0,9365.0,2860.0,350.0,80.0,3670.0,2865.0,6085.0,445.0,5515.0,1020.0,3100.0,4375.0,6520.0,7855.0,700.0,7165.0,3040.0,315.0,3130.0,85.0,0.0,60.0,2.47,900.0,17070.0
kensington chinatown,570.0,435.0,515.0,960.0,2680.0,2610.0,1770.0,1250.0,1145.0,1230.0,1135.0,865.0,755.0,525.0,560.0,605.0,450.0,280.0,105.0,45.0,15.0,2770.0,215.0,3880.0,5765.0,11210.0,8640.0,635.0,365.0,430.0,820.0,1230.0,715.0,915.0,650.0,905.0,640.0,30.9,8295.0,8540.0,4115.0,235.0,15.0,2655.0,5975.0,8185.0,455.0,7540.0,1105.0,3400.0,4285.0,8925.0,10555.0,895.0,9660.0,1435.0,220.0,2725.0,3500.0,710.0,195.0,1.9,1300.0,18505.0
kingsview village the westway,1515.0,1470.0,1480.0,1460.0,1435.0,1385.0,1285.0,1415.0,1490.0,1630.0,1430.0,1220.0,1095.0,845.0,780.0,750.0,605.0,335.0,90.0,10.0,5.0,4870.0,270.0,1630.0,8990.0,8275.0,7650.0,210.0,130.0,150.0,370.0,980.0,880.0,790.0,655.0,1035.0,665.0,22.2,9610.0,11750.0,4665.0,125.0,5.0,3970.0,3675.0,6860.0,790.0,6050.0,1600.0,4390.0,4865.0,7995.0,9855.0,910.0,8945.0,5430.0,340.0,2335.0,260.0,0.0,75.0,2.679,1775.0,21730.0
kingsway south,465.0,630.0,635.0,530.0,485.0,305.0,340.0,505.0,745.0,795.0,725.0,695.0,615.0,450.0,355.0,345.0,265.0,200.0,90.0,10.0,5.0,2475.0,20.0,850.0,4710.0,2735.0,3500.0,0.0,0.0,30.0,0.0,185.0,145.0,160.0,125.0,275.0,295.0,3.5,7165.0,1855.0,695.0,70.0,0.0,2960.0,535.0,3465.0,35.0,3330.0,160.0,670.0,1195.0,5505.0,4865.0,190.0,4660.0,2655.0,165.0,1045.0,105.0,35.0,40.0,2.432,2200.0,9190.0
lambton baby point,585.0,535.0,505.0,475.0,405.0,435.0,505.0,590.0,690.0,660.0,630.0,565.0,435.0,265.0,205.0,155.0,125.0,110.0,35.0,10.0,5.0,2050.0,25.0,840.0,3505.0,2785.0,3160.0,60.0,85.0,135.0,195.0,260.0,290.0,200.0,160.0,350.0,165.0,18.6,5275.0,2495.0,670.0,550.0,5.0,1920.0,1235.0,3070.0,80.0,2905.0,250.0,940.0,1200.0,4115.0,4210.0,230.0,3985.0,1895.0,180.0,1285.0,145.0,90.0,30.0,2.432,1275.0,7925.0
l amoreaux,2230.0,2100.0,2375.0,3070.0,3125.0,3075.0,2380.0,2790.0,3320.0,3870.0,3310.0,2950.0,2610.0,1955.0,1865.0,1640.0,1270.0,705.0,250.0,55.0,5.0,9285.0,940.0,2765.0,20975.0,17240.0,14910.0,620.0,245.0,380.0,990.0,1500.0,1515.0,1615.0,1525.0,2080.0,1375.0,21.8,13970.0,29640.0,6540.0,935.0,5.0,10125.0,4785.0,13595.0,1310.0,12400.0,2510.0,8430.0,10540.0,18925.0,21775.0,2060.0,19710.0,10410.0,1375.0,6025.0,355.0,55.0,155.0,2.7455,3045.0,44950.0
lansing westgate,845.0,725.0,745.0,795.0,965.0,1185.0,1290.0,1170.0,1175.0,1150.0,1035.0,855.0,750.0,515.0,405.0,360.0,330.0,240.0,85.0,35.0,0.0,3475.0,85.0,1760.0,7030.0,5300.0,5980.0,300.0,175.0,135.0,225.0,390.0,375.0,380.0,480.0,820.0,565.0,16.0,7810.0,6065.0,2775.0,30.0,10.0,3530.0,2455.0,5750.0,240.0,5165.0,815.0,900.0,2470.0,8900.0,8205.0,470.0,7740.0,3575.0,175.0,2585.0,280.0,10.0,60.0,2.318,2145.0,14655.0
